127.0.0.1 - - [07/Jun/2019:19:34:00 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [07/Jun/2019:19:34:06 +0900] "GET /WebProj5/ HTTP/1.1" 200 2311
0:0:0:0:0:0:0:1 - - [07/Jun/2019:19:34:11 +0900] "POST /WebProj5/HelloStrutsAction.action;jsessionid=1BD6ABA99D0CBCBC68C556CDD5B29DDF HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [07/Jun/2019:19:39:32 +0900] "GET /WebProj5/ HTTP/1.1" 200 2091
0:0:0:0:0:0:0:1 - - [07/Jun/2019:19:39:34 +0900] "POST /WebProj5/HelloStrutsAction.action HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [07/Jun/2019:19:39:34 +0900] "GET /WebProj5/css/style.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [07/Jun/2019:19:39:37 +0900] "POST /WebProj5/HelloStrutsAction.action HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [07/Jun/2019:19:39:37 +0900] "GET /WebProj5/css/style.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [07/Jun/2019:19:39:46 +0900] "POST /WebProj5/WelcomeAction.action HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [07/Jun/2019:19:39:50 +0900] "POST /WebProj5/InquiryAction.action HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [07/Jun/2019:19:39:55 +0900] "POST /WebProj5/WelcomeAction.action HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [07/Jun/2019:19:39:59 +0900] "POST /WebProj5/LoginAction.action HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [07/Jun/2019:19:39:59 +0900] "GET /WebProj5/css/style.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [07/Jun/2019:19:42:04 +0900] "GET /WebProj5/ HTTP/1.1" 200 2091
0:0:0:0:0:0:0:1 - - [07/Jun/2019:19:42:06 +0900] "POST /WebProj5/HelloStrutsAction.action HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [07/Jun/2019:19:42:06 +0900] "GET /WebProj5/css/style.css HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [07/Jun/2019:19:42:10 +0900] "POST /WebProj5/WelcomeAction.action HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [07/Jun/2019:19:42:19 +0900] "POST /WebProj5/LoginAction.action HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [07/Jun/2019:19:42:22 +0900] "POST /WebProj5/InquiryAction.action HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [07/Jun/2019:19:42:31 +0900] "POST /WebProj5/InquiryCompleteAction.action HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [07/Jun/2019:19:42:42 +0900] "POST /WebProj5/InquiryCompleteAction.action HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [07/Jun/2019:19:42:51 +0900] "GET /WebProj5/TestAction.action?username=wdadaw&password=dawdaw HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [07/Jun/2019:19:42:56 +0900] "POST /WebProj5/TestAction.action HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [07/Jun/2019:19:43:20 +0900] "GET /WebProj5/TestAction.action?username=fff&password=aaaa HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [07/Jun/2019:19:43:34 +0900] "POST /WebProj5/TestAction.action HTTP/1.1" 200 441
